lat,lng,Segment,customer_city
-23.546266606440067,-46.74784046863638,Silent-Premium,sao paulo
-22.481398523517264,-47.45877212094766,Silent-Premium,cordeiropolis
-2.426887126999578,-54.73083104396959,Silent-Premium,santarem
-23.444906448237063,-46.749702004934726,Silent-Premium,sao paulo
-19.96832110629376,-44.02464250183705,Silent-Premium,contagem
-28.507698984223516,-55.22620569546957,Silent-Premium,santo antonio das missoes
-22.98598325783374,-43.19186641534424,Silent-Premium,rio de janeiro
-22.748203295194685,-43.43990358655218,Silent-Premium,nova iguacu
-22.9411124891896,-47.04316126672053,Silent-Premium,campinas
-23.086496272847818,-47.216807769634734,Silent-Premium,indaiatuba
-25.442791128284213,-49.276760102140905,Silent-Premium,curitiba
-23.58750487878853,-46.825889845886735,Silent-Premium,cotia
-4.368890936339314,-38.801326257077335,Silent-Premium,aracoiaba
-23.640079123362614,-46.51544838301402,Silent-Premium,santo andre
-23.473127074383964,-46.63734175243804,Silent-Premium,sao paulo
-23.482467116667337,-46.13170591013399,Silent-Premium,mogi das cruzes
-23.180229756498715,-46.85773745019897,Silent-Premium,jundiai
-22.277216273975142,-48.5432584317704,Silent-Premium,jau
-28.25061567025468,-52.42606739771481,Silent-Premium,passo fundo
-23.58011336955392,-46.49829718040567,Silent-Premium,sao paulo
-23.086036875382305,-46.954171930582575,Silent-Premium,louveira
-20.502070116372256,-47.3968215,Silent-Premium,franca
-15.912151962538413,-48.06597125202511,Silent-Premium,brasilia
-24.014540409660096,-46.43840702622771,Silent-Premium,praia grande
-19.933277029141905,-44.1052968643083,Silent-Premium,betim
-22.92167385596392,-43.36033117000399,Silent-Premium,rio de janeiro
-30.04478353566277,-51.09698036179231,Silent-Premium,porto alegre
-23.590100220381945,-46.72392925506378,Silent-Premium,sao paulo
-23.447309060505503,-46.50225707576894,Silent-Premium,guarulhos
-22.943344137606253,-47.07891662170351,Silent-Premium,campinas
-25.424860600323225,-49.35933682584106,Silent-Premium,curitiba
-5.790670208904167,-37.558077603677674,Silent-Premium,caraubas
-25.37037591171133,-49.075822956597584,Silent-Premium,quatro barras
-23.51677547628342,-46.33643354559392,Silent-Premium,poa
-21.22252141271852,-50.44588268568579,Silent-Premium,aracatuba
-22.796202576934213,-43.38308624952391,Silent-Premium,sao joao de meriti
-23.541700665229538,-46.65257086372554,Silent-Premium,sao paulo
-5.292004300794145,-36.762060545388096,Silent-Premium,alto do rodrigues
-26.90742211051977,-49.04255812377123,Silent-Premium,blumenau
-24.00854267253503,-46.27294241879315,Silent-Premium,guaruja
-22.95459806717061,-43.17731169269164,Silent-Premium,rio de janeiro
-22.97264893936459,-43.18744696892487,Silent-Premium,rio de janeiro
-20.373626262192097,-43.41744554260202,Silent-Premium,mariana
-23.48180830521743,-47.44750717415892,Silent-Premium,sorocaba
-20.05560416989224,-40.197283946347554,Silent-Premium,serra
-9.605774210658424,-35.72294270891233,Silent-Premium,maceio
-20.68604093423175,-50.55323120558638,Silent-Premium,auriflama
-23.542227635143306,-46.86835638346921,Silent-Premium,barueri
-16.446566163338893,-54.61520640523574,Silent-Premium,rondonopolis
-19.920671611938914,-44.12947794136671,Silent-Premium,contagem
-23.495491646811058,-46.84718581311382,Silent-Premium,barueri
-23.07838578217041,-52.45778248906223,Silent-Premium,paranavai
-20.143995002659533,-44.20205595801386,Silent-Premium,brumadinho
-29.70382729405648,-52.39818607347314,Silent-Premium,santa cruz do sul
-16.08274499999993,-47.93224123899995,Silent-Premium,cidade ocidental
-20.89444583107576,-51.37480937158949,Silent-Premium,andradina
-20.374072683597397,-40.30532998337161,Silent-Premium,vila velha
-25.406795584024778,-49.25942853605031,Silent-Premium,curitiba
-26.905725,-49.08906794552563,Silent-Premium,blumenau
-22.668128036355263,-45.00807299999998,Silent-Premium,cachoeira paulista
-23.61488328621765,-46.603165620234286,Silent-Premium,sao paulo
-23.742470419695472,-46.577834449492144,Silent-Premium,sao bernardo do campo
-15.844322036240426,-48.02590214571617,Silent-Premium,brasilia
-20.342467507877814,-40.28566821952616,Silent-Premium,vila velha
-29.673977773241404,-53.829384196472674,Silent-Premium,santa maria
-23.56022602553523,-46.486680543020356,Silent-Premium,sao paulo
-19.89853645781635,-43.92141149611918,Silent-Premium,belo horizonte
-21.15508861476428,-47.80350926309952,Silent-Premium,ribeirao preto
-30.02058253621103,-51.1535145599737,Silent-Premium,porto alegre
-23.186380013590007,-46.88651921120668,Silent-Premium,jundiai
-20.806830481885147,-49.38960170992274,Silent-Premium,sao jose do rio preto
-23.488594654804253,-46.45920586865417,Silent-Premium,sao paulo
-30.092809899462708,-50.694388328298245,Silent-Premium,capao da porteira
-23.44280896641469,-46.75883897100233,Silent-Premium,sao paulo
-23.4865890753816,-46.89306864040721,Silent-Premium,barueri
-23.40379875437128,-46.418468647238726,Silent-Premium,guarulhos
-23.593393424375275,-46.481629877459774,Silent-Premium,sao paulo
-25.459683543568623,-49.29405194171619,Silent-Premium,curitiba
-16.36196685190559,-46.898106210100984,Silent-Premium,unai
-23.502687742022033,-46.46431842918368,Silent-Premium,sao paulo
-20.729601494303047,-47.75230325216032,Silent-Premium,nuporanga
